n,fst_train,compress,snd_train
0,0.86564,0.7802,0.87272
1,0.85512,0.70088,0.86108
2,0.84088,0.72972,0.86384
3,0.86088,0.74932,0.87644
4,0.85156,0.52488,0.87392
5,0.83172,0.81796,0.86716
6,0.8538,0.79816,0.87332
7,0.84652,0.76036,0.8722
8,0.84144,0.655,0.85704
9,0.83032,0.79876,0.84988
10,0.8536,0.82664,0.87316
11,0.81544,0.75388,0.86064
12,0.83468,0.71312,0.86776
13,0.8542,0.61436,0.86748
14,0.8418,0.63664,0.85368
15,0.81924,0.81712,0.85588
16,0.85684,0.84592,0.87148
17,0.84616,0.52912,0.872
18,0.8454,0.78972,0.86592
19,0.8558,0.7288,0.87552
20,0.85288,0.67548,0.87536
21,0.83264,0.67436,0.86352
22,0.82112,0.70528,0.85816
23,0.83636,0.76748,0.86244
24,0.84332,0.51784,0.86012
25,0.8404,0.79592,0.867
26,0.8298,0.79536,0.86524
27,0.85724,0.80804,0.87288
28,0.8376,0.80756,0.85944
29,0.85292,0.84124,0.87408
30,0.84832,0.83508,0.87396
31,0.84424,0.78056,0.86512
32,0.8368,0.67456,0.86692
33,0.85088,0.82784,0.87252
34,0.8572,0.85132,0.87444
35,0.85724,0.83724,0.87492
36,0.81028,0.77448,0.84408
37,0.8618,0.79556,0.8694
38,0.84948,0.53176,0.86912
39,0.83812,0.67036,0.86896
40,0.79852,0.68792,0.84612
41,0.86632,0.83856,0.8628
42,0.85476,0.52284,0.86652
43,0.83676,0.73672,0.87244
44,0.85936,0.80136,0.876
45,0.80212,0.66548,0.86072
46,0.85168,0.7044,0.87448
47,0.85456,0.72896,0.8744
48,0.86228,0.84084,0.84396
49,0.8592,0.75016,0.83892
50,0.8374,0.75932,0.84096
51,0.8438,0.80312,0.86468
52,0.83124,0.60788,0.86396
53,0.82916,0.68112,0.86236
54,0.84136,0.65404,0.86544
55,0.83276,0.76872,0.86448
56,0.85304,0.64564,0.87448
57,0.848,0.8284,0.8728
58,0.83688,0.6858,0.86636
59,0.84208,0.6276,0.86288
60,0.84168,0.76548,0.84104
61,0.85592,0.82764,0.87312
62,0.851,0.57276,0.86904
63,0.8426,0.83704,0.86952
64,0.85632,0.61664,0.87372
65,0.84628,0.62396,0.8708
66,0.79836,0.58232,0.8532
67,0.85308,0.79956,0.87664
68,0.8404,0.82324,0.86768
69,0.84208,0.7508,0.8692
70,0.65284,0.62132,0.84156
71,0.85596,0.59056,0.85528
72,0.84248,0.81948,0.86576
73,0.8586,0.83436,0.87
74,0.84424,0.64484,0.86956
75,0.85288,0.64124,0.86412
76,0.848,0.8284,0.8728
77,0.8534,0.62336,0.87632
78,0.82316,0.7672,0.86108
79,0.86292,0.59952,0.8736
80,0.84236,0.8034,0.86048
81,0.86016,0.66,0.87596
82,0.8558,0.59684,0.87252
83,0.86368,0.70468,0.8758
84,0.85116,0.83588,0.87476
85,0.8542,0.78072,0.87572
86,0.81352,0.80704,0.8562
87,0.83312,0.7876,0.86524
88,0.85884,0.79036,0.85288
89,0.83072,0.7922,0.86432
90,0.85176,0.81848,0.87276
91,0.7248,0.61536,0.8528
92,0.84724,0.8086,0.85976
93,0.85368,0.71652,0.8576
94,0.83872,0.61848,0.87508
95,0.85344,0.60596,0.86092
96,0.8344,0.6242,0.86408
97,0.86068,0.83696,0.86808
98,0.86716,0.8186,0.87688
99,0.8474,0.5866,0.87244
