n,accuracy
0,0.82536
1,0.85752
2,0.82052
3,0.841
4,0.83952
5,0.82936
6,0.84912
7,0.78476
8,0.84016
9,0.82388
10,0.83608
11,0.838
12,0.838
13,0.83608
14,0.8436
15,0.83608
16,0.81508
17,0.85304
18,0.84092
19,0.85248
20,0.8572
21,0.8572
22,0.8572
23,0.85468
24,0.8572
25,0.85468
26,0.82896
27,0.8572
28,0.85752
29,0.81896
30,0.83368
31,0.85468
32,0.85468
33,0.83368
34,0.82736
35,0.85888
36,0.78624
37,0.85468
38,0.84192
39,0.85764
40,0.84708
41,0.85764
42,0.85764
43,0.85764
44,0.85764
45,0.85732
46,0.85764
47,0.85676
48,0.85716
49,0.83452
50,0.85652
51,0.85764
52,0.85764
53,0.85764
54,0.84984
55,0.835
56,0.85764
57,0.85732
58,0.84916
59,0.82924
60,0.85024
61,0.85764
62,0.85764
63,0.85764
64,0.85764
65,0.8366
66,0.84684
67,0.85764
68,0.8532
69,0.82856
70,0.85636
71,0.85764
72,0.85764
73,0.85764
74,0.85764
75,0.85764
76,0.84024
77,0.85708
78,0.85908
79,0.8584
80,0.8584
81,0.8584
82,0.8584
83,0.8584
84,0.8584
85,0.8584
86,0.82416
87,0.85636
88,0.839
89,0.8304
90,0.85688
91,0.8584
92,0.8584
93,0.8584
94,0.8584
95,0.8584
96,0.8588
97,0.8588
98,0.8588
99,0.8588
