n,accuracy
0,0.87356
1,0.4994
2,0.873
3,0.50656
4,0.87144
5,0.49608
6,0.83264
7,0.4992
8,0.87236
9,0.87364
10,0.87376
11,0.87376
12,0.87376
13,0.87376
14,0.87376
15,0.87376
16,0.87376
17,0.87376
18,0.8736
19,0.87376
20,0.4988
21,0.87376
22,0.87376
23,0.87376
24,0.87376
25,0.87376
26,0.87504
27,0.87504
28,0.87504
29,0.87504
30,0.87504
31,0.87504
32,0.87504
33,0.87504
34,0.87504
35,0.87392
36,0.50304
37,0.87392
38,0.4898
39,0.87392
40,0.87332
41,0.87504
42,0.87504
43,0.87504
44,0.87504
45,0.87504
46,0.87392
47,0.87332
48,0.49516
49,0.87504
50,0.87504
51,0.87504
52,0.87504
53,0.87504
54,0.87504
55,0.87504
56,0.87392
57,0.87504
58,0.87332
59,0.87504
60,0.87504
61,0.87504
62,0.87504
63,0.87504
64,0.87504
65,0.87504
66,0.87504
67,0.87504
68,0.87392
69,0.87332
70,0.87504
71,0.87504
72,0.87504
73,0.87504
74,0.87504
75,0.87504
76,0.87504
77,0.87504
78,0.87504
79,0.49472
80,0.87332
81,0.87504
82,0.87504
83,0.87504
84,0.87504
85,0.87504
86,0.87504
87,0.87504
88,0.87348
89,0.87228
90,0.8728
91,0.87504
92,0.87504
