n,accuracy
0,0.48916
1,0.50656
2,0.85512
3,0.51096
4,0.84736
5,0.7726
6,0.84144
7,0.48572
8,0.77844
9,0.63876
10,0.8536
11,0.85624
12,0.8536
13,0.8536
14,0.8536
15,0.8536
16,0.85512
17,0.8536
18,0.8662
19,0.8698
20,0.49972
21,0.87152
22,0.8698
23,0.8698
24,0.8698
25,0.8698
26,0.87056
27,0.87056
28,0.87056
29,0.50576
30,0.87056
31,0.87056
32,0.87056
33,0.87056
34,0.87056
35,0.87056
36,0.4814
37,0.86812
38,0.84116
39,0.86924
40,0.49612
41,0.87056
42,0.87056
43,0.87056
44,0.87376
45,0.83284
46,0.87376
47,0.826
48,0.73784
49,0.87376
50,0.869
51,0.87376
52,0.87376
53,0.87376
54,0.87376
55,0.87376
56,0.87376
57,0.62156
58,0.87376
59,0.87376
60,0.87376
61,0.87376
62,0.87376
63,0.87376
64,0.87376
65,0.86192
66,0.87376
67,0.87376
68,0.73784
69,0.83284
70,0.86192
71,0.87376
72,0.87376
73,0.87376
74,0.87376
75,0.87376
76,0.87376
77,0.826
78,0.87376
79,0.87376
80,0.73784
81,0.87376
82,0.87376
83,0.87376
84,0.87376
85,0.87376
86,0.83284
87,0.87376
88,0.62156
89,0.87336
90,0.78668
91,0.87376
92,0.87376
93,0.87376
94,0.87376
95,0.87376
96,0.8696
97,0.73784
98,0.83284
99,0.87376
