n,accuracy
0,0.8734
1,0.86976
2,0.87208
3,0.87376
4,0.87492
5,0.87296
6,0.87344
7,0.86712
8,0.87384
9,0.87284
10,0.87304
11,0.873
12,0.874
13,0.87468
14,0.87396
15,0.8742
16,0.87252
17,0.8742
18,0.87268
19,0.87204
20,0.87328
21,0.8742
22,0.8742
23,0.87332
24,0.87348
25,0.8742
26,0.87208
27,0.873
28,0.87312
29,0.87308
30,0.87368
31,0.87416
32,0.8742
33,0.87508
34,0.8708
35,0.8728
36,0.87428
37,0.87432
38,0.8726
39,0.8738
40,0.87312
41,0.87432
42,0.87432
43,0.87332
44,0.87384
45,0.87404
46,0.874
47,0.87448
48,0.87316
49,0.8746
50,0.8716
51,0.87132
52,0.8732
53,0.8742
54,0.87308
55,0.87264
56,0.87176
57,0.87368
58,0.8724
59,0.87268
60,0.87252
61,0.87484
62,0.87448
63,0.87396
64,0.87448
65,0.87484
66,0.87412
67,0.87284
68,0.87332
69,0.87444
70,0.8732
71,0.87312
72,0.87416
73,0.87392
74,0.87416
75,0.87276
76,0.87384
77,0.87352
78,0.8746
79,0.87304
80,0.8726
81,0.8742
82,0.8746
83,0.874
84,0.87452
85,0.8746
86,0.8746
87,0.87272
88,0.87356
89,0.87428
90,0.87428
91,0.8746
92,0.8746
93,0.87264
94,0.8746
95,0.87376
96,0.87264
97,0.87352
98,0.87256
99,0.87444
