n,accuracy
0,0.87568
1,0.86248
2,0.5
3,0.87248
4,0.5
5,0.5
6,0.5
7,0.5
8,0.87524
9,0.82764
10,0.87032
11,0.85448
12,0.85324
13,0.87552
14,0.85484
15,0.87452
16,0.87576
17,0.87564
18,0.5
19,0.87592
20,0.87592
21,0.87592
22,0.87592
23,0.87592
24,0.87576
25,0.87592
26,0.5
27,0.87592
28,0.87592
29,0.87592
30,0.87592
31,0.87592
32,0.87592
33,0.87592
34,0.8758
35,0.87004
36,0.5
37,0.87352
38,0.5
39,0.5
40,0.5
41,0.87592
42,0.87592
43,0.87592
44,0.87592
45,0.87572
46,0.85628
47,0.5
48,0.87584
49,0.5
50,0.87352
51,0.87592
52,0.87592
53,0.87592
54,0.87576
55,0.87592
56,0.847
57,0.5
58,0.87584
59,0.87568
60,0.5
61,0.87592
62,0.87592
63,0.87592
64,0.87592
65,0.87592
66,0.87336
67,0.8192
68,0.5
69,0.87592
70,0.87728
71,0.87728
72,0.87728
73,0.87728
74,0.87728
75,0.87728
76,0.87728
77,0.87728
78,0.87716
79,0.87564
80,0.5
81,0.87716
82,0.87716
83,0.87716
84,0.87716
85,0.87716
86,0.86564
87,0.87728
88,0.5
89,0.87788
90,0.87772
91,0.87772
92,0.87772
93,0.87772
94,0.87772
95,0.87772
96,0.87772
97,0.5
98,0.87368
99,0.86396
