n,accuracy
1,0.5
2,0.5
3,0.5
4,0.5
5,0.86092
6,0.87076
7,0.5
8,0.86896
9,0.5
10,0.78348
11,0.87104
12,0.8768
13,0.87108
14,0.8454
15,0.8774
16,0.87688
17,0.87696
18,0.5
19,0.87708
20,0.877
21,0.877
22,0.87784
23,0.87708
24,0.87728
25,0.87728
26,0.5
27,0.87728
28,0.87732
29,0.87736
30,0.87732
31,0.87732
32,0.87736
33,0.87732
34,0.87084
35,0.5
36,0.5
37,0.5
38,0.87356
39,0.5
40,0.5
41,0.87732
42,0.87732
43,0.87732
44,0.87732
45,0.86292
46,0.87356
47,0.5
48,0.87056
49,0.80312
50,0.87424
51,0.87732
52,0.87732
53,0.87732
54,0.87732
55,0.87576
56,0.8774
57,0.5
58,0.87784
59,0.86544
60,0.87708
61,0.87784
62,0.87784
63,0.87784
64,0.87784
65,0.87784
66,0.87564
67,0.86832
68,0.87532
69,0.5
70,0.87792
71,0.87792
72,0.87792
73,0.87792
74,0.87792
75,0.87792
76,0.87792
77,0.86464
78,0.87484
79,0.87592
80,0.5
81,0.87792
82,0.87792
83,0.87792
84,0.87792
85,0.87792
86,0.87792
87,0.87792
88,0.87792
89,0.87792
90,0.86348
91,0.87792
92,0.87792
93,0.87792
94,0.87792
95,0.87792
96,0.87812
97,0.87704
98,0.5
99,0.5
0,0.87352
