n,accuracy
0,0.874
1,0.77048
2,0.87144
3,0.5
4,0.5
5,0.50172
6,0.86644
7,0.7886
8,0.8658
9,0.503
10,0.5
11,0.50456
12,0.87176
13,0.8688
14,0.86232
15,0.87492
16,0.5
17,0.8288
18,0.86732
19,0.80584
20,0.87248
21,0.87352
22,0.87328
23,0.8732
24,0.86564
25,0.87196
26,0.79916
27,0.87272
28,0.87348
29,0.85064
30,0.87132
31,0.87416
32,0.87376
33,0.87108
34,0.5
35,0.8728
36,0.5
37,0.5
38,0.83792
39,0.85012
40,0.5
41,0.81752
42,0.8734
43,0.87232
44,0.87264
45,0.79424
46,0.86908
47,0.50176
48,0.8634
49,0.5
50,0.8678
51,0.87292
52,0.87248
53,0.871
54,0.8722
55,0.86944
56,0.84668
57,0.86924
58,0.8736
59,0.87564
60,0.87208
61,0.87232
62,0.87368
63,0.87432
64,0.87424
65,0.87228
66,0.87432
67,0.87252
68,0.87392
69,0.87404
70,0.87224
71,0.87252
72,0.87312
73,0.87408
74,0.87344
75,0.87336
76,0.86684
77,0.8724
78,0.5
79,0.5
80,0.87132
81,0.8696
82,0.5
83,0.86824
84,0.49764
85,0.83536
86,0.82336
87,0.86836
88,0.87044
89,0.86736
90,0.50692
91,0.87496
92,0.87304
93,0.87388
94,0.87308
95,0.80744
96,0.51168
97,0.5
98,0.87344
99,0.86796
